IAD1 # Must be first four characters
# Input Example with a single set of sphere coefficients 
# The order of entries is important 
# Anything after a ’#’ is ignored, blank lines are also ignored

1.34 # Index of refraction of the sample 
1.50 # Index of refraction of the top and bottom slides 
1.0 # [mm] Thickness of sample 
1.0 # [mm] Thickness of slides 
5.0 # [mm] Diameter of illumination beam 
0.96 # Reflectance of the calibration standard
1 # Number of spheres used during each measurement

# Properties of sphere used for reflectance measurements 203.2 # [mm] Sphere Diameter (8 in * 25.4 mm/in) 
25.4 # [mm] Sample Port Diameter 
12.7 # [mm] Entrance Port Diameter 
1.00 # [mm] Detector Port Diameter 
0.96 # Reflectance of the sphere wall

# Properties of sphere used for transmittance measurements 203.2 # [mm] Sphere Diameter (8 in * 25.4 mm/in) 
25.4 # [mm] Sample Port Diameter 
0.00 # [mm] Entrance Port Diameter 
1.00 # [mm] Detector Port Diameter 
0.96 # Reflectance of the sphere wall

2 # Number of measurements, M_R, M_T

#nm	#M_R	#M_T	#M_U	#r_w 	#t_w 	#rstd 	#tstd
349.8	0.22448979591836735	-0.07613168724279835	0.0	0.9788	0.9788	0.98	1.0
350.3	0.2542857142857143	-0.172147001934236	0.0	0.9788	0.9788	0.98	1.0
350.8	0.2969187675070028	-0.22820037105751392	0.0	0.9788	0.9788	0.98	1.0
351.3	0.2853107344632768	-0.24738675958188153	0.0	0.9788	0.9788	0.98	1.0
351.9	0.28378378378378377	-0.24873949579831933	0.0	0.9788	0.9788	0.98	1.0
352.4	0.2810810810810811	-0.24792013311148087	0.0	0.9788	0.9788	0.98	1.0
352.9	0.2750642673521851	-0.20717781402936378	0.0	0.9788	0.9788	0.98	1.0
353.4	0.2601010101010101	-0.19032258064516128	0.0	0.9788	0.9788	0.98	1.0
354.0	0.25879396984924624	-0.14009661835748793	0.0	0.9788	0.9788	0.98	1.0
354.5	0.25879396984924624	-0.11793214862681745	0.0	0.9788	0.9788	0.98	1.0
355.0	0.2512437810945274	-0.09195402298850575	0.0	0.9788	0.9788	0.98	1.0
355.5	0.21739130434782608	-0.06622516556291391	0.0	0.9788	0.9788	0.98	1.0
356.0	0.21770334928229665	-0.043333333333333335	0.0	0.9788	0.9788	0.98	1.0
356.6	0.20665083135391923	-0.03204047217537943	0.0	0.9788	0.9788	0.98	1.0
357.1	0.1939252336448598	-0.02689075630252101	0.0	0.9788	0.9788	0.98	1.0
357.6	0.20909090909090908	0.004991680532445923	0.0	0.9788	0.9788	0.98	1.0
